temperature_c,chi_hardware,erased_bits_per_sec,mem_energy_j,cache_size_bits,q_min_w,q_actual_w,caching_energy_j,erasure_avoided_j,is_caching_efficient
25.0,1.0,1000000000.0,1e-12,100000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-12,2.8532745152874054e-13,0
25.0,1.0,1000000000.0,1e-12,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-12,2.8532745152874052e-11,1
25.0,1.0,1000000000.0,1e-12,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-12,2.853274515287405e-09,1
25.0,1.0,1000000000.0,1e-09,100000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-09,2.8532745152874054e-13,0
25.0,1.0,1000000000.0,1e-09,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-09,2.8532745152874052e-11,0
25.0,1.0,1000000000.0,1e-09,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-09,2.853274515287405e-09,1
25.0,1.0,1000000000.0,1e-08,100000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-08,2.8532745152874054e-13,0
25.0,1.0,1000000000.0,1e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-08,2.8532745152874052e-11,0
25.0,1.0,1000000000.0,1e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,2e-08,2.853274515287405e-09,0
25.0,1.0,1000000000.0,2.5e-08,100000000.0,2.8532745152874054e-12,2.8532745152874054e-12,5e-08,2.8532745152874054e-13,0
25.0,1.0,1000000000.0,2.5e-08,10000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,5e-08,2.8532745152874052e-11,0
25.0,1.0,1000000000.0,2.5e-08,1000000000000.0,2.8532745152874054e-12,2.8532745152874054e-12,5e-08,2.853274515287405e-09,0
25.0,1.0,100000000000.0,1e-12,100000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-12,2.8532745152874054e-13,0
25.0,1.0,100000000000.0,1e-12,10000000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-12,2.8532745152874052e-11,1
25.0,1.0,100000000000.0,1e-12,1000000000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-12,2.853274515287405e-09,1
25.0,1.0,100000000000.0,1e-09,100000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-09,2.8532745152874054e-13,0
25.0,1.0,100000000000.0,1e-09,10000000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-09,2.8532745152874052e-11,0
25.0,1.0,100000000000.0,1e-09,1000000000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-09,2.853274515287405e-09,1
25.0,1.0,100000000000.0,1e-08,100000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-08,2.8532745152874054e-13,0
25.0,1.0,100000000000.0,1e-08,10000000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-08,2.8532745152874052e-11,0
25.0,1.0,100000000000.0,1e-08,1000000000000.0,2.853274515287405e-10,2.853274515287405e-10,2e-08,2.853274515287405e-09,0
25.0,1.0,100000000000.0,2.5e-08,100000000.0,2.853274515287405e-10,2.853274515287405e-10,5e-08,2.8532745152874054e-13,0
25.0,1.0,100000000000.0,2.5e-08,10000000000.0,2.853274515287405e-10,2.853274515287405e-10,5e-08,2.8532745152874052e-11,0
25.0,1.0,100000000000.0,2.5e-08,1000000000000.0,2.853274515287405e-10,2.853274515287405e-10,5e-08,2.853274515287405e-09,0
25.0,1.0,10000000000000.0,1e-12,100000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-12,2.8532745152874054e-13,0
25.0,1.0,10000000000000.0,1e-12,10000000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-12,2.8532745152874052e-11,1
25.0,1.0,10000000000000.0,1e-12,1000000000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-12,2.853274515287405e-09,1
25.0,1.0,10000000000000.0,1e-09,100000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-09,2.8532745152874054e-13,0
25.0,1.0,10000000000000.0,1e-09,10000000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-09,2.8532745152874052e-11,0
25.0,1.0,10000000000000.0,1e-09,1000000000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-09,2.853274515287405e-09,1
25.0,1.0,10000000000000.0,1e-08,100000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-08,2.8532745152874054e-13,0
25.0,1.0,10000000000000.0,1e-08,10000000000.0,2.853274515287405e-08,2.853274515287405e-08,2e-08,2.8532745152874052e-11,0
